"original","short","category"
"I think carefully before answering any important letters.","Responding to a serious letter","Personal"
"I enjoy childrens' company.","Children","Personal"
"I am not afraid to give my opinion if I feel strongly about something.","Assertiveness","Personal"
"I can get angry very easily.","Getting angry","Personal"
"I always make sure I connect with the right people.","Knowing the right people","Personal"
"I have to be well prepared before public speaking.","Public speaking","Personal"
"I will find a fault in myself if people don't like me.","Unpopularity","Personal"
"I cry when I feel down or things don't go the right way.","Life struggles","Personal"
"I am 100% happy with my life.","Happiness in life","Personal"
"I am always full of life and energy.","Energy levels","Personal"
"I prefer big dangerous dogs to smaller, calmer dogs.","Small - big dogs","Personal"
"I believe all my personality traits are positive.","Personality","Personal"
"If I find something the doesn't belong to me I will hand it in.","Finding lost valuables","Personal"
"I find it very difficult to get up in the morning.","Getting up","Personal"
"I have many different hobbies and interests.","Interests or hobbies","Personal"
"I always listen to my parents' advice.","Parents' advice","Personal"
"I enjoy taking part in surveys.","Questionnaires or polls","Personal"
"How much time do you spend online?","Internet usage","Personal"
"I save all the money I can.","Finances","Spending"
"I enjoy going to large shopping centres.","Shopping centres","Spending"
"I prefer branded clothing to non branded.","Branded clothing","Spending"
"I spend a lot of money on  partying and socializing.","Entertainment spending","Spending"
"I spend a lot of money on my appearance.","Spending on looks","Spending"
"I spend a lot of money on gadgets.","Spending on gadgets","Spending"
"I will hapilly pay more money for good, quality or healthy food.","Spending on healthy eating","Spending"
"Age","Age","Demographic"
"Height","Height","Demographic"
"Weight","Weight","Demographic"
"How many siblings do you have?","Number of siblings","Demographic"
"Gender","Gender","Demographic"
"I am","Left - right handed","Demographic"
"Highest education achieved","Education","Demographic"
"I am the only child","Only child","Demographic"
"I spent most of my childhood in a","Village - town","Demographic"
"I lived most of my childhood in a","House - block of flats","Demographic"
